pin,signal,description
1,GND,"Ground (0 V)"
2,GND,"Ground (0 V)"
3,Ethernet_Pair3_P,"Ethernet pair 3 positive (connect to transformer or MagJack)"
4,Ethernet_Pair1_P,"Ethernet pair 1 positive (connect to transformer or MagJack)"
5,Ethernet_Pair3_N,"Ethernet pair 3 negative (connect to transformer or MagJack)"
6,Ethernet_Pair1_N,"Ethernet pair 1 negative (connect to transformer or MagJack)"
7,GND,"Ground (0 V)"
8,GND,"Ground (0 V)"
9,Ethernet_Pair2_N,"Ethernet pair 2 negative (connect to transformer or MagJack)"
10,Ethernet_Pair0_N,"Ethernet pair 0 negative (connect to transformer or MagJack)"
11,Ethernet_Pair2_P,"Ethernet pair 2 positive (connect to transformer or MagJack)"
12,Ethernet_Pair0_P,"Ethernet pair 0 positive (connect to transformer or MagJack)"
13,GND,"Ground (0 V)"
14,GND,"Ground (0 V)"
15,Ethernet_nLED3,"Active-low Ethernet activity indicator ( CM5_3.3V signal): typically a green LED is connected to this"
16,Fan_Tacho,"Fan Tacho input pin internally pulled up with a 1.8 kΩ to CM5_3.3V"
17,Ethernet_nLED2,"Active-low Ethernet speed indicator ( CM5_3.3V signal): typically a yellow LED is connected to this"
18,Ethernet_SYNC_OUT,"IEEE1588 SYNC output pin, may be configured to be an input ( CM5_3.3V signal:IOL = 8 mA at"
19,Fan_PWM,"Open drain output"
20,EEPROM_nWP,"Leave floating NB internally pulled up to CM5_3.3V through 100 kΩ (VIL < 0.8 V); can be grounded"
21,LED_nACT,"Active-low Pi activity LED; 20 mA max, 5 V tolerant (VOL < 0.4 V); this signal drives the green LED"
22,GND,"Ground (0 V)"
23,GND,"Ground (0 V)"
24,GPIO26,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
25,GPIO21,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
26,GPIO19,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
27,GPIO20,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
28,GPIO13,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
29,GPIO16,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
30,GPIO6,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
31,GPIO12,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
32,GND,"Ground (0 V)"
33,GND,"Ground (0 V)"
34,GPIO5,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
35,ID_SC,"(RP1 GPIO 1) GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF"
36,ID_SD,"(RP1 GPIO 0) GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF"
